fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
217,1681852319172591413,1681852319768598413,596,854.5248486554623,594.3171680672268,24.023790050420164,-5.080689951260504
218,1681852319796780413,1681852321128597413,1331,942.6126125283017,551.216028,30.675774543396226,-1.868711915283019
219,1681852321412585413,1681852323748601413,2336,687.0820299567099,457.1043721428572,11.33949644935065,5.079504468917749
220,1681852323808640413,1681852323984599413,175,644.3202391176471,523.5709179411764,8.070425805882351,0.08958073875
221,1681852324012587413,1681852325696683413,1684,623.4321725892858,586.6241970238095,6.504150264285714,-4.6610011104166675
222,1681852325852564413,1681852326248770413,396,688.4821977500001,454.32984024999996,11.4451588375,5.28960922
223,1681852326292705413,1681852332552589413,6259,612.6966335213538,408.0193335858179,5.730853552699436,8.80882606849315
224,1681852332700647413,1681852333764703413,1064,610.8279665402844,362.93778672985786,5.629812339810425,12.215811251184833
225,1681852333824886413,1681852334848577413,1023,624.3075017085428,447.32829643216087,6.58328238241206,5.83851565879397
226,1681852335024586413,1681852335936585413,911,642.5724189204545,421.4618703409091,7.992132822159092,7.782373506818183
227,1681852335964582413,1681852336164629413,200,694.28768725,462.3996472500001,11.8768562625,4.6813951875
228,1681852336196593413,1681852338556739413,2360,732.9270392274678,452.1252603648069,14.817477755364807,5.435097143776825
229,1681852338588615413,1681852339552588413,963,687.388094893617,454.63650510638297,11.362166481382982,5.266281049468085
230,1681852339584621413,1681852339956775413,372,704.1600968000001,504.70345173333334,12.59689526,1.5065200718666665
231,1681852340076576413,1681852340440614413,364,543.483887746479,611.6838638028169,0.45141987576056336,-6.5625423225352115
232,1681852340516618413,1681852341452701413,936,643.0654192896175,529.2515995081966,7.977037401092895,-0.33742409718852456
233,1681852341532576413,1681852341964573413,431,693.857975,425.5089526190476,11.88764100595238,7.451624345238095
234,1681852341992601413,1681852342548583413,555,701.2132324770644,480.32690238532115,12.386942481651374,3.3343159651376144
235,1681852342584577413,1681852342936590413,352,630.5123746376812,471.33553057971017,7.040802227536231,4.025868950724638
236,1681852342996589413,1681852343284667413,288,622.5258594736844,356.92612175438603,6.535456336842106,12.6637135
237,1681852343304607413,1681852345216603413,1911,632.628226084656,365.5310754761905,7.3029635992063495,12.006253398148148
238,1681852345268585413,1681852347464588413,2196,616.7671468264841,431.0236293835616,6.0219913803652965,7.070935175799088
239,1681852347672606413,1681852347960577413,287,729.3313306896553,433.9413072413794,14.570310094827587,6.796767972413793
240,1681852348017505413,1681852348604581413,587,785.5660412931037,352.9376225862069,19.089809487068965,12.774096189655172
241,1681852348692574413,1681852349052588413,360,960.1167923287671,560.4931171232878,32.025738205479456,-2.5251053678082194
242,1681852349092599413,1681852349764584413,671,1010.8060367424241,542.6467504545453,35.90431165151515,-1.2138413868181819
243,1681852349948586413,1681852352612571413,2663,664.8821648190476,494.2800817142857,9.63205527047619,2.2927785373142857
244,1681852352788591413,1681852353780581413,991,734.9807168527919,380.9554488832488,15.11455783248731,10.754990322335026
245,1681852353808600413,1681852354017132413,208,698.9209107500001,412.9292705,12.292333862499998,8.392183812499999
246,1681852354048610413,1681852354424884413,376,677.1823162666667,473.0928018666668,10.572823526666665,3.8835145733333336
247,1681852354456586413,1681852356176601413,1720,735.225435280236,441.62405312684365,15.011072727138643,6.21620158761062
248,1681852356256640413,1681852364860579413,8603,889.8880885964913,523.1419243918128,26.65561883508772,0.14514704817043858
249,1681852364960577413,1681852365040573413,79,528.72139,518.9807986666667,-0.6663081433333333,0.4344182433333333
250,1681852365180580413,1681852365416627413,236,642.1611580434783,478.46095869565215,7.919938889130434,3.4860357021739135
251,1681852365476584413,1681852368268572413,2791,625.6800713586957,399.6328879528985,6.726681209420289,9.437211753623188
252,1681852368660578413,1681852373416840413,4756,748.0862674679488,449.51767071581196,15.978108377670939,5.62316662136859
253,1681852373476609413,1681852373696591413,219,855.4437022727271,461.03616386363626,24.102089113636364,4.696606524999999
254,1681852373736595413,1681852373904603413,168,781.590857352941,516.7628441176471,18.446676911764705,0.6036986911764707
255,1681852373944585413,1681852375812670413,1868,824.4868664850138,550.9824908446867,21.695900403269757,-1.9176864450953677
256,1681852375872598413,1681852378396587413,2523,767.0540123123732,448.29548943204867,17.41322188539554,5.698751983367139
257,1681852378468578413,1681852378532645413,64,734.3394433333333,496.14328916666665,14.882395666666667,2.143212441666667
258,1681852378572622413,1681852379924569413,1351,738.2699215241636,413.52267866171,15.288397146840147,8.316138323048328
259,1681852380080729413,1681852380580586413,499,590.9559133684211,485.21992389473684,4.042236657894737,2.9835602607684217
260,1681852380620595413,1681852380836666413,216,632.4565139534884,522.5050044186047,7.173819281395348,0.1694520608372093
261,1681852380864574413,1681852392924579413,12060,647.1735388743676,528.3364945531198,8.28746727415683,-0.2695728204868043
262,1681852393064612413,1681852393184711413,120,832.4444764,435.52285960000006,22.410680040000003,6.591308148
263,1681852393216576413,1681852394484580413,1268,820.5484717999999,457.88914028,21.459893704000002,4.9547105216
