section id,recording id,recording name,wearer id,wearer name,section start time [ns],section end time [ns],start event name,end event name
fcee6f29-b7c8-4f53-8ddb-0cf9cda89a0d,855adb77-6a03-4ab7-bb29-17342d2e1039,12047_P_T1_tsst,2e0aeb4c-1305-4b63-8c42-d70061498d59,12047_P,1691851999621000000,1691853346987000000,recording.begin,recording.end
6a77def4-4012-40f0-a839-2bcd73be47cd,8b12dc10-e10a-45a7-a163-7a6494687591,12038_P_T1_tsst,d3a4f8d7-7f6f-4136-98fa-2a92d5a6e3e8,12038_P,1687380800467000000,1687381955761000000,recording.begin,recording.end
4f25a4da-f160-4bea-8a15-50081550e6d6,8d19c6d6-8601-4294-8f86-134a550cca6a,12031_P_T1_tsst,73d5a140-b7b6-4e29-bf31-bf32be7d422d,12031_P,1688926452693000000,1688927634158000000,recording.begin,recording.end
03fff3fb-ea44-4a34-b45c-c69587f04d26,91b63be9-26e6-49d7-99e0-6c12fe2c88e5,12024_P_T1_tsst,59494df0-6de6-4a13-a6e0-9ea5bc0ed7c3,12024_P,1685291029689000000,1685292850051000000,recording.begin,recording.end
e111cb3c-4be5-4d71-b19c-ddcf6b9667c9,92d23c6a-bb76-4b7f-bee0-3d9417335b46,12015_P_T1_tsst,270a80a0-2ac4-4248-8e89-47985dc5b4b7,12015_P,1684941747393000000,1684943119509000000,recording.begin,recording.end
cb5b53c1-5760-479a-8b75-30d49dd77e78,936b61f8-8a87-46af-ad7a-b5f8afa7d204,12022_P_T1_tsst,9f7dafd6-3b91-4ead-bc50-0f99e7c28bd3,12022_P,1685892755271000000,1685894157235000000,recording.begin,recording.end
0439f6fb-8aa7-40f1-8b97-cbf292797baf,99b8e147-209c-4809-8ae5-736dc77a8a2c,12081_P_T1_tsst,2ae17c16-fc69-4a00-829c-829e3be3479d,12081_P,1718727501761000000,1718728809521000000,recording.begin,recording.end
9b9f662d-d0ba-4c51-97c8-bbaa3299b96e,9c49ef95-12cc-4430-b0cd-31ee51371643,12069_P_T1_tsst,75be568b-f535-491e-9c6e-05b45579cc06,12069_P,1708879096116000000,1708880354950000000,recording.begin,recording.end
0795500e-8eba-4946-ad6b-315b42ed4aa9,a18bf944-2567-478f-b883-d1cdd8650cae,12032_P_T1_tsst,9bbea998-3e85-4d10-aa37-777b636517b9,12032_P,1686250422498000000,1686252015472000000,recording.begin,recording.end
4a8de680-4a7e-476f-bd3f-1f0a8b7fd73c,a4c5e211-f0d3-466e-bf44-e9dda5bf86fe,12082_P_T1_tsst,fcc893a6-c791-4203-b6f4-3dfab1736ca3,12082_P,1721314017157000000,1721315578679000000,recording.begin,recording.end
