section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,azimuth [deg],elevation [deg]
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066907957858,529.763,659.998,0.0,107,,-0.7999312598028541,-10.170300574089987
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066916064858,528.444,658.346,0.0,107,,-0.9002062173469652,-10.04571745151654
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066919964858,528.283,658.28,0.0,107,,-0.912515726368974,-10.040699571670585
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066924003858,527.091,652.38,0.0,107,,-1.0025586581849797,-9.596137919268843
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066927954858,521.669,653.011,0.0,107,,-1.415338975838871,-9.642993736149688
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066935929858,521.542,654.831,0.0,107,,-1.42533137593286,-9.780152552072481
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066939938858,519.638,653.961,0.0,107,,-1.5701239990692408,-9.714283795604262
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066943941858,517.57,655.258,0.0,107,,-1.7279166999145024,-9.811735180419168
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066947930858,521.191,652.098,0.0,107,,-1.4515692243102034,-9.574148964372606
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066955962858,518.4,668.062,0.0,107,,-1.6677127111497978,-10.7762446982777
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066959895858,516.87,667.719,0.0,107,,-1.7843210576050264,-10.750130298294579
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066963841858,511.184,663.012,0.0,107,,-2.216547775413773,-10.394542108599312
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066967908858,500.533,661.954,0.0,107,,-3.027910577845447,-10.312252648212967
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066975974858,509.239,650.024,0.0,107,,-2.3605286533318406,-9.415914574839064
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066980014858,509.155,650.184,0.0,107,,-2.366965597293884,-9.427925142826638
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066984009858,508.161,650.158,0.0,107,,-2.4426423059067184,-9.425748863077333
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066988036858,508.076,646.567,0.0,107,,-2.4479599423808422,-9.155271110614061
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066995994858,508.639,654.681,0.0,107,,-2.4076968552290063,-9.766521556933903
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682066999970858,509.351,648.487,0.0,107,,-2.3515538230530906,-9.300150206054756
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682067003998858,518.388,656.015,0.0,107,,-1.665801449616044,-9.868831083229727
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682067008083858,522.705,657.003,0.0,107,,-1.337174595913218,-9.943871316319871
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682067015880858,523.567,653.168,0.0,107,,-1.2708777880640527,-9.65508013785166
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682067019942858,526.509,653.655,0.0,107,,-1.0469990427945308,-9.692109999079833
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682067024021858,526.399,651.468,0.0,107,,-1.0551315942899444,-9.527351279838598
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682067028004858,524.631,652.059,0.0,107,,-1.1897653094147171,-9.57165630921804
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682067035972858,524.497,652.51,0.0,107,,-1.2000070980031479,-9.605628188696143
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682067039982858,524.942,652.265,0.0,107,,-1.1661082792631163,-9.58722555837404
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682067044069858,525.278,656.338,0.0,107,,-1.1411406159319801,-9.894093524017384
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682067047997858,522.246,650.816,0.0,107,,-1.3710547465857459,-9.477697720380329
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682067056012858,518.613,655.653,0.0,107,,-1.648580095641526,-9.841651959064675
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682067060186858,518.905,657.977,0.0,107,,-1.626870051028695,-10.016720996662222
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682067063986858,522.46,656.882,0.0,107,,-1.3558686333966528,-9.934771879693796
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682067068062858,522.436,661.591,0.0,107,,-1.3585427522521756,-10.289500826030372
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682067076045858,521.702,661.325,0.0,107,,-1.4143874919474173,-10.269299030076048
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682067079955858,520.397,662.112,0.0,107,,-1.514066473199291,-10.328396096635633
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682067083959858,516.803,664.891,0.0,107,,-1.7886918617986236,-10.537117049998567
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682067087928858,520.717,668.419,0.0,107,,-1.4910117710206123,-10.80346997674243
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682067095879858,519.983,668.166,0.0,107,,-1.5469475418380558,-10.784352044374652
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682067099938858,529.735,662.998,0.0,107,,-0.802341525123428,-10.39629252593774
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682067103918858,532.602,663.962,0.0,107,,-0.583818120852335,-10.469095220560966
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682067107927858,529.44,664.152,0.0,,,-0.8249869851289212,-10.483150534429097
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682067115914858,523.419,659.133,0.0,,,-1.2832001559495205,-10.10446333633167
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682067119922858,494.771,658.709,0.0,,,-3.4653737242687748,-10.066180676353865
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682067123932858,497.019,656.732,0.0,,,-3.293265577425169,-9.918075270483456
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682067127927858,497.826,656.147,0.0,108,,-3.2315406536115545,-9.874205777211266
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682067135900858,500.704,654.717,0.0,108,,-3.0117694459648345,-9.767341649101134
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682067139906858,502.837,652.259,0.0,108,,-2.8484711303881607,-9.582801220053046
29f26e52-3edd-4e3c-a6f5-10144b409a72,eca5e39c-e0a4-4bd1-8af8-f6ace5adf3e8,1660682067143943858,502.591,652.633,0.0,108,,-2.8673343531361644,-9.610890026489423
