Begin Time - hh:mm:ss.ms,Begin Time - ss.msec,End Time - hh:mm:ss.ms,End Time - ss.msec,Duration - hh:mm:ss.ms,Duration - ss.msec,eye_blinks,not_visible,timestamps,,,,,,,
09:17.6,557.65,09:17.8,557.81,00:00.2,0.16, [a125],,,,,,,,,
09:17.9,557.89,09:18.0,558.04,00:00.2,0.15, [a126],,,,,,,,,
09:18.7,558.71,09:19.0,558.97,00:00.3,0.26, [a127],,,,,,,,,
09:20.0,559.96,09:20.1,560.1,00:00.1,0.14, [a128],,,,,,,,,
09:26.0,566.04,09:26.2,566.24,00:00.2,0.2, [a129],,,,,,,,,
09:26.5,566.49,09:26.7,566.68,00:00.2,0.19, [a130],,,,,,,,,
09:27.7,567.68,09:27.8,567.82,00:00.1,0.14, [a131],,,,,,,,,
09:30.6,570.6,09:30.8,570.78,00:00.2,0.18, [a132],,,,,,,,,
09:34.3,574.29,09:34.7,574.69,00:00.4,0.4, [a133],,,,,,,,,
09:35.0,575.04,09:35.3,575.26,00:00.2,0.22, [a134],,,,,,,,,
09:37.4,577.42,09:37.5,577.51,00:00.1,0.09, [a135],,,,,,,,,
09:47.0,587.04,09:47.2,587.17,00:00.1,0.13, [a136],,,,,,,,,
09:47.7,587.71,09:47.8,587.76,00:00.1,0.05, [a137],,,,,,,,,
09:48.5,588.53,09:48.6,588.6,00:00.1,0.07, [a138],,,,,,,,,
09:48.8,588.78,09:48.9,588.89,00:00.1,0.11, [a139],,,,,,,,,
09:49.7,589.69,09:49.9,589.87,00:00.2,0.18, [a140],,,,,,,,,
09:52.0,592.01,09:52.2,592.15,00:00.1,0.14, [a141],,,,,,,,,
09:52.7,592.74,09:53.0,592.97,00:00.2,0.23, [a142],,,,,,,,,
09:53.3,593.29,09:53.5,593.47,00:00.2,0.18, [a143],,,,,,,,,
09:53.7,593.69,09:53.9,593.88,00:00.2,0.19, [a144],,,,,,,,,
09:55.0,594.95,09:55.1,595.12,00:00.2,0.17, [a145],,,,,,,,,
09:55.2,595.17,09:55.3,595.31,00:00.1,0.14, [a146],,,,,,,,,
09:55.5,595.53,09:55.7,595.7,00:00.2,0.17, [a147],,,,,,,,,
